BOARD_PRESIDENT_ID,BOARD_PRESIDENT_NAME,CR_BY,MOD_BY,ACTIVE,TYPE
1.0,President_1,4.0,,Y,CMR
2.0,President_2,4.0,1.0,Y,MEM
3.0,President_3,4.0,1.0,Y,MEM
4.0,President_4,4.0,1.0,N,DSR
5.0,President_5,4.0,,Y,JSR
6.0,President_6,4.0,,Y,ASR
7.0,President_7,4.0,,Y,MEM
8.0,President_8,4.0,1.0,Y,MEM
9.0,President_9,4.0,,Y,MEM
10.0,President_10,4.0,2.0,Y,BPR
11.0,President_11,4.0,,Y,MEM
12.0,President_12,4.0,,Y,MEM
13.0,President_13,11.0,,Y,BPR
14.0,President_14,1.0,,Y,BPR
15.0,President_15,1.0,,Y,BPR
16.0,President_16,1.0,,Y,BPR
17.0,President_17,1.0,,Y,BPR
18.0,President_18,1.0,,Y,BPR
19.0,President_19,1.0,,Y,BPR
20.0,President_20,1.0,,Y,BPR
21.0,President_21,1.0,,Y,BPR
22.0,President_22,1.0,1.0,N,DSR
23.0,President_23,1.0,,Y,BPR
24.0,President_24,1.0,,Y,BPR
25.0,President_25,1.0,,Y,BPR
26.0,President_26,1.0,,Y,BPR
27.0,President_27,1.0,,Y,JSR
28.0,President_28,1.0,,Y,BPR
29.0,President_29,1.0,,Y,CMR
30.0,President_30,1.0,,Y,MEM
31.0,President_31,1.0,1.0,N,DSR
32.0,President_32,5.0,,Y,BPR
33.0,President_33,5.0,,Y,BPR
34.0,President_34,5.0,,Y,BPR
35.0,President_35,5.0,,Y,BPR
36.0,President_36,5.0,,Y,BPR
37.0,President_37,5.0,,Y,BPR
38.0,President_38,5.0,,Y,BPR
39.0,President_39,5.0,,Y,BPR
40.0,President_40,5.0,,Y,BPR
41.0,President_41,5.0,,Y,BPR
42.0,President_42,5.0,,Y,BPR
43.0,President_43,5.0,,Y,BPR
44.0,President_44,1.0,1.0,N,DSR
45.0,President_45,5.0,,Y,MEM
46.0,President_46,1.0,,Y,MEM
47.0,President_47,1.0,,Y,CMR
48.0,President_48,5.0,,Y,BPR
49.0,President_49,5.0,,Y,BPR
50.0,President_50,5.0,,Y,BPR
51.0,President_51,5.0,,Y,BPR
52.0,President_52,5.0,,Y,BPR
53.0,President_53,5.0,,Y,BPR
55.0,President_55,5.0,,Y,BPR
56.0,President_56,1.0,,Y,DSR
57.0,President_57,5.0,,Y,BPR
58.0,President_58,5.0,,Y,BPR
59.0,President_59,25.0,,Y,JSR
60.0,President_60,5.0,,Y,BPR
61.0,President_61,5.0,,Y,BPR
62.0,President_62,5.0,,Y,BPR
63.0,President_63,5.0,,Y,BPR
64.0,President_64,3.0,4.0,Y,BPR
65.0,President_65,3.0,4.0,Y,BPR
66.0,President_66,3.0,4.0,Y,BPR
67.0,President_67,3.0,4.0,Y,BPR
68.0,President_68,3.0,4.0,Y,BPR
69.0,President_69,3.0,4.0,Y,CMR
70.0,President_70,3.0,4.0,Y,BPR
71.0,President_71,3.0,4.0,Y,BPR
72.0,President_72,3.0,4.0,Y,BPR
73.0,President_73,3.0,4.0,Y,BPR
74.0,President_74,3.0,4.0,Y,BPR
75.0,President_75,3.0,4.0,Y,BPR
76.0,President_76,3.0,4.0,Y,BPR
77.0,President_77,3.0,4.0,Y,BPR
78.0,President_78,3.0,4.0,Y,BPR
79.0,President_79,3.0,4.0,Y,BPR
80.0,President_80,3.0,4.0,Y,BPR
81.0,President_81,3.0,4.0,Y,CMR
82.0,President_82,3.0,4.0,Y,BPR
83.0,President_83,3.0,4.0,Y,BPR
84.0,President_84,3.0,4.0,Y,BPR
85.0,President_85,3.0,4.0,Y,BPR
86.0,President_86,3.0,4.0,Y,BPR
87.0,President_87,3.0,4.0,Y,BPR
88.0,President_88,3.0,4.0,Y,BPR
89.0,President_89,3.0,4.0,Y,BPR
90.0,President_90,3.0,4.0,Y,BPR
91.0,President_91,3.0,4.0,Y,BPR
92.0,President_92,3.0,4.0,Y,BPR
93.0,President_93,3.0,4.0,Y,BPR
94.0,President_94,3.0,4.0,Y,BPR
95.0,President_95,3.0,4.0,Y,BPR
96.0,President_96,3.0,4.0,Y,BPR
97.0,President_97,3.0,4.0,Y,CMR
98.0,President_98,3.0,4.0,N,BPR
99.0,President_99,3.0,4.0,Y,BPR
100.0,President_100,3.0,4.0,Y,BPR
101.0,President_101,3.0,4.0,Y,BPR
102.0,President_102,3.0,4.0,N,MEM
103.0,President_103,3.0,4.0,Y,BPR
104.0,President_104,3.0,4.0,Y,BPR
105.0,President_105,3.0,4.0,Y,BPR
106.0,President_106,3.0,4.0,Y,BPR
107.0,President_107,3.0,4.0,Y,BPR
108.0,President_108,3.0,4.0,Y,BPR
109.0,President_109,3.0,4.0,Y,BPR
110.0,President_110,3.0,4.0,Y,BPR
