SERVICE_TYPE_ID,SERVICE_TYPE_NAME,CR_BY,MOD_BY,ACTIVE,OFLINE
1.0,GENERAL,2.0,1.0,Y,0
2.0,INDIAN ADMINISTRATIVE SERVICE,2.0,1.0,Y,0
3.0,INDIAN AUDIT AND ACCOUNTS SERVICE GROUP A,2.0,1.0,Y,0
4.0,INDIAN CUSTOMS AND CENTRAL EXCISE SERVICE GROUP A,2.0,1.0,Y,0
5.0,INDIAN CIVIL ACCOUNTS SERVICE GROUP A,2.0,1.0,Y,0
6.0,INDIAN DEFENCE ACCOUNTS SERVICE GROUP A,2.0,1.0,Y,0
7.0,INDIAN DEFENCE ESTATES SERVICE GROUP A,2.0,1.0,Y,0
8.0,INDIAN ECONOMIC SERVICE,2.0,1.0,Y,0
9.0,INDIAN FOREIGN SERVICE,2.0,1.0,Y,0
10.0,INDIAN ORDNANCE FACTORIES SERVICE GROUP A,2.0,1.0,Y,0
11.0,INDIAN POLICE SERVICE,2.0,1.0,Y,0
12.0,INDIAN POSTAL SERVICE GROUP A,2.0,1.0,Y,0
13.0,INDIAN PT. ACCOUNTS AND FINANCE SERVICE GROUP A,2.0,1.0,Y,0
14.0,INDIAN RAILWAY ACCOUNTS SERVICE GROUP A,2.0,1.0,Y,0
15.0,INDIAN RAILWAY PERSONNEL SERVICE GROUP A,2.0,1.0,Y,0
16.0,INDIAN RAILWAY TRAFFICE SERVICE GROUP A,2.0,1.0,Y,0
17.0,INDIAN REVENUE SERVICE GROUP A,2.0,1.0,Y,0
18.0,INDIAN STATISTICAL SERVICE,2.0,1.0,Y,0
19.0,INDIAN TRADE SERVICE GROUP A GRADE III,2.0,1.0,Y,0
20.0,MEDICAL SERVICE,2.0,1.0,Y,0
21.0,OTHERS,2.0,1.0,Y,0
22.0,PRIVATE SECTOR,2.0,1.0,Y,0
23.0,PRIVATE SERVICE,2.0,1.0,Y,0
24.0,THE INDIAN INFORMATION SERVICE JUNIOR GRADE GROUP A,2.0,1.0,Y,0
25.0,SPECIAL CLASS RAILWAY APPRENTICE SCRA,2.0,1.0,Y,0
26.0,INDIAN RAILWAY STORES SERVICE CIVIL ENGINEERING POSTS,2.0,1.0,Y,0
27.0,CENTRAL ENGINEERING SERVICE ROADS GROUP A CIVIL ENGINEERING POSTS,2.0,25.0,Y,0
28.0,INDIAN RAILWAY STORES SERVICE ELECTRICAL ENGINEERING POSTS,2.0,1.0,Y,0
29.0,INDIAN NAVAL STORE OFFICER GRADE I ELECTRICAL ENGINEERING POSTS IN INDIAN NAVY,2.0,1.0,Y,0
30.0,INDIAN RAILWAY STORES SERVICE TELECOMMUNICATION ELECTRONICS ENGINEERING POSTS,2.0,1.0,Y,0
31.0,INDIAN NAVAL STORE OFFICER GRADE I ELECTRONICS AND TELECOM ENGINEERING POSTS IN INDIAN NAVY,2.0,5.0,Y,0
32.0,INDIAN BROADCASTING SERVICE,2.0,1.0,Y,0
33.0,CENTRAL HEALTH SERVICE,4.0,1.0,Y,0
34.0,BANKING SERVICE,3.0,25.0,Y,0
35.0,CENTRAL GOVT. SERVICES,6.0,25.0,Y,0
36.0,STATE SERVICE,6.0,1.0,Y,0
37.0,INDIAN FOREST SERVICE,1.0,40.0,Y,0
38.0,HIGHER JUDICIAL SERVICE,2.0,1.0,Y,0
39.0,INDIAN TELECOM SERVICE,1.0,1.0,Y,0
40.0,INDIAN DEFENCE ENGINEERS SERVICE,4.0,1.0,Y,0
41.0,INDIAN COST ACCOUNTS SERVICE,2.0,1.0,Y,0
42.0,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH (CSIR),5.0,,Y,0
43.0,ARMY MEDICAL CORPS,5.0,,Y,0
44.0,CENTRAL GEOLOGICAL SERVICE GROUP A,5.0,,Y,0
45.0,INDIAN RAILWAY SERVICE OF MECHANICAL ENGINEERS,5.0,23.0,Y,0
46.0,INDIAN INFORMATION SERVICE,5.0,,Y,0
47.0,CENTRAL LABOUR SERVICE,5.0,,Y,0
48.0,INDIAN LEGAL SERVICE,5.0,,Y,0
49.0,INDIAN ARMY,5.0,,Y,0
50.0,INDIAN AIR FORCE MEDICAL SERVICE,23.0,,Y,0
51.0,CENTRAL SECRETARIAT SERVICE,23.0,,Y,0
52.0,ARMY DENTAL CORPS,27.0,,Y,0
53.0,ARMED FORCES MEDICAL SERVICE,23.0,,Y,0
54.0,INDIAN ENGINEERING SERVICE,23.0,,Y,0
55.0,AGRICULTURAL RESEARCH SERVICE,23.0,,Y,0
56.0,INDIAN RAILWAY SERVICE OF ELECTRICAL ENGINEERS,23.0,,Y,0
57.0,CENTRAL WATER ENGINEERING SERVICE,23.0,,Y,0
58.0,INDIAN RAILWAY STORES SERVICE,23.0,,Y,0
59.0,INDIAN SUPPLY SERVICE,23.0,,Y,0
60.0,INDIAN RAILWAY SERVICE OF SIGNAL ENGINEERS (IRSSE),23.0,,Y,0
61.0,CISF FIRE SERVICE,25.0,,Y,0
62.0,CENTRAL ARCHITECT SERVICE,66.0,,Y,0
63.0,EDUCATION,62.0,40.0,Y,0
64.0,VICE-PRINCIPAL IN EDUCATION DEPARTMENT,62.0,62.0,Y,0
65.0,INDIAN NAVY,70.0,,Y,0
66.0,INDIAN NAVY,70.0,,Y,0
